area_sqft,bedrooms,age_years,distance_city_km,price_lakh
849,5,33,17.6,66.5
2068,4,18,1.6,120.2
1352,3,30,9.6,96.7
655,3,36,5.2,51.2
1062,1,32,24,58.4
1911,3,4,20.7,103.1
2520,2,35,1.1,108.3
2560,4,27,6.2,154.3
1427,2,14,23.2,72
1911,5,10,21.1,119.1
2332,4,22,19.8,120
2178,1,,8.3,101.7
694,4,10,12.3,72.6
1172,3,35,22.7,65.9
2491,2,1,9.6,127.8
2995,2,9,20.2,143.1
702,3,30,24.9,43.4
628,3,32,9.9,45.9
1118,1,,2.5,62.8
1569,2,14,11.2,84.5
1229,4,23,8.5,84.7
1804,1,24,10.5,76.6
849,1,32,20,57.8
2117,4,32,1.3,112.5
1636,3,16,7.2,112.6
2257,3,23,3,149.6
1854,3,39,1.1,114.2
2560,4,18,8.6,146.1
682,2,11,1.7,63
521,5,5,21.6,71
687,5,16,8,69.3
1644,5,39,17.4,100.6
2731,2,1,2.2,147.3
610,3,11,21.4,58.9
2522,2,32,8.7,130.4
510,2,15,6.9,70.9
748,2,26,10.7,42.1
1183,1,5,4.8,68.3
2425,1,21,,108.9
2641,2,1,15.8,117.2
2578,4,,5.9,135
2246,3,12,22.9,109.7
518,3,14,20.4,46.8
2308,4,39,11,132.3
2931,4,10,9.7,168.2
2587,3,8,3.1,134
2395,1,27,11.9,100.9
840,2,16,22.1,61.3
2260,3,6,14.8,132.4
2304,3,14,2.2,143.6
2514,3,0,12.7,147
2263,5,14,18.5,115.4
1463,3,22,8.3,93.7
2000,1,38,6,82.4
2794,4,0,22.1,131.5
517,4,9,17.9,66.8
815,2,24,17,50
1736,3,23,2.6,118.3
1543,4,24,15.9,112.7
1110,2,36,1.1,76.1
2165,3,12,16,131.6
2676,2,10,15.5,129.7
1322,5,32,8.1,102.6
2613,3,19,10.2,138.6
1656,2,39,12.7,82.3
500,3,31,17,28.4
517,3,2,22.6,55.7
1402,2,19,1.4,85.7
2436,3,3,6.8,130.9
1940,5,24,13.6,113.1
1479,2,30,15,87.3
1391,5,11,14.8,110.1
607,1,19,4.3,45.3
2159,5,35,18.4,122.6
2482,1,25,15.9,115
-500,3,29,9.1,158.2
1938,1,21,22.9,80.5
1672,4,25,3.4,96.7
545,1,0,11.6,33.7
2684,2,25,17.1,134.6
1543,4,14,15.8,118.5
1706,3,8,10.5,100.5
860,1,4,12.6,48.3
710,3,0,4.7,76.3
2851,2,12,21.8,137.3
861,4,18,20.5,60.6
2838,1,22,12.6,152.6
2543,2,4,14.8,141.1
1190,4,9,2.8,83.6
2246,4,12,21.3,131
1282,5,27,15,90.6
794,1,25,13.2,52.4
2005,2,8,7.3,86
1483,4,34,15.9,82
1468,2,21,11.7,85.2
1997,1,0,6.3,103.1
845,5,8,20,99.7
2418,5,1,16.5,140.8
1714,4,14,5.6,83.8
2774,2,39,17,138.2
1612,4,31,6.2,103
782,3,3,5.9,65.3
2337,2,18,4.6,125.4
740,2,22,18,64.4
1656,5,20,9,130.2
1568,3,6,10.3,111.1
2620,5,15,15.7,154.4
970,1,6,23.7,49.8
1248,1,7,4.8,87.2
1585,4,39,12.9,90.4
2936,3,13,23.4,149.5
550,5,11,22.8,83
1582,3,33,14.7,92.2
805,3,12,22.7,44.3
2709,2,5,11.7,138.8
1595,1,4,19.8,87.9
2222,4,40,6.2,119
749,2,30,1.3,60.5
1013,1,34,14.8,54.5
1232,4,20,12.2,105.4
1888,4,11,21,107.8
1939,4,32,8.3,122.7
1693,5,35,5.8,82.7
2080,4,30,5.5,129.1
2884,4,34,22.6,138.7
1655,1,35,13.6,87.9
1380,5,20,18,67.5
1905,5,,24.5,123.6
1630,4,34,22.7,94.4
2645,3,16,9.7,138
,5,15,13,123.7
2937,3,24,18.1,158.4
1220,5,10,13.2,92.6
1060,1,20,11.5,58.4
1483,5,38,3.5,99.7
2945,4,28,9.1,152.8
1415,2,30,,82.9
1432,2,31,17.6,71.2
2085,5,19,4.8,111.3
2230,5,6,5.4,149.6
1377,2,27,22.6,96.7
1439,2,26,9.2,80
2779,,5,15.2,168.6
2443,1,7,19.7,93
810,2,25,10.4,44.8
2330,1,3,22.5,111
2783,1,8,4.1,138.2
604,2,29,18.2,50.6
1691,4,20,9.9,128
