area_sqft,bedrooms,age_years,distance_city_km,price_lakh,price_per_sqft,age_category
849.0,5.0,33.0,17.6,66.5,7832.744405182568,Old
2068.0,4.0,18.0,1.6,120.2,5812.379110251451,Mid
1352.0,3.0,30.0,9.6,96.7,7152.366863905326,Mid
655.0,3.0,36.0,5.2,51.2,7816.793893129771,Old
1062.0,1.0,32.0,24.0,58.4,5499.0583804143125,Old
1911.0,3.0,4.0,20.7,103.1,5395.0811093668235,New
2520.0,2.0,35.0,1.1,108.3,4297.619047619048,Old
2560.0,4.0,27.0,6.2,154.3,6027.343750000001,Mid
1427.0,2.0,14.0,23.2,72.0,5045.550105115627,Mid
1911.0,5.0,10.0,21.1,119.1,6232.339089481947,New
2332.0,4.0,22.0,19.8,120.0,5145.797598627787,Mid
2178.0,1.0,,8.3,101.7,4669.421487603306,
694.0,4.0,10.0,12.3,72.6,10461.095100864552,New
1172.0,3.0,35.0,22.7,65.9,5622.866894197953,Old
2491.0,2.0,1.0,9.6,127.8,5130.469690887194,New
2995.0,2.0,9.0,20.2,143.1,4777.963272120201,New
702.0,3.0,30.0,24.9,43.4,6182.336182336182,Mid
628.0,3.0,32.0,9.9,45.9,7308.91719745223,Old
1118.0,1.0,,2.5,62.8,5617.173524150268,
1569.0,2.0,14.0,11.2,84.5,5385.59592096877,Mid
1229.0,4.0,23.0,8.5,84.7,6891.781936533767,Mid
1804.0,1.0,24.0,10.5,76.6,4246.119733924612,Mid
849.0,1.0,32.0,20.0,57.8,6808.009422850412,Old
2117.0,4.0,32.0,1.3,112.5,5314.123760037789,Old
1636.0,3.0,16.0,7.2,112.6,6882.640586797066,Mid
2257.0,3.0,23.0,3.0,149.6,6628.267611874169,Mid
1854.0,3.0,39.0,1.1,114.2,6159.654800431499,Old
2560.0,4.0,18.0,8.6,146.1,5707.03125,Mid
682.0,2.0,11.0,1.7,63.0,9237.536656891496,Mid
521.0,5.0,5.0,21.6,71.0,13627.63915547025,New
687.0,5.0,16.0,8.0,69.3,10087.336244541484,Mid
1644.0,5.0,39.0,17.4,100.6,6119.221411192214,Old
2731.0,2.0,1.0,2.2,147.3,5393.628707433175,New
610.0,3.0,11.0,21.4,58.9,9655.737704918032,Mid
2522.0,2.0,32.0,8.7,130.4,5170.499603489294,Old
510.0,2.0,15.0,6.9,70.9,13901.960784313727,Mid
748.0,2.0,26.0,10.7,42.1,5628.3422459893045,Mid
1183.0,1.0,5.0,4.8,68.3,5773.457311918851,New
2425.0,1.0,21.0,,108.9,4490.721649484536,Mid
2641.0,2.0,1.0,15.8,117.2,4437.712987504733,New
2578.0,4.0,,5.9,135.0,5236.617532971296,
2246.0,3.0,12.0,22.9,109.7,4884.238646482636,Mid
